Date,Open,High,Low,Close,Volume,Market Cap
26-May-21,"$2,707.05 ","$2,911.74 ","$2,652.09 ","$2,888.70 ","$42,499,766,020 ","$335,196,485,646 "
27-May-21,"$2,888.75 ","$2,888.75 ","$2,642.61 ","$2,736.49 ","$33,373,635,283 ","$317,571,010,585 "
28-May-21,"$2,742.47 ","$2,761.36 ","$2,336.36 ","$2,419.91 ","$39,999,114,805 ","$280,864,129,343 "
29-May-21,"$2,414.07 ","$2,566.94 ","$2,208.49 ","$2,279.51 ","$33,773,720,220 ","$264,600,384,052 "
30-May-21,"$2,278.29 ","$2,472.19 ","$2,188.83 ","$2,390.31 ","$25,876,619,428 ","$277,492,990,927 "
31-May-21,"$2,387.20 ","$2,715.86 ","$2,279.51 ","$2,714.95 ","$31,007,383,150 ","$315,217,277,483 "
01-Jun-21,"$2,707.56 ","$2,739.74 ","$2,531.16 ","$2,633.52 ","$27,363,223,090 ","$305,798,597,367 "
02-Jun-21,"$2,634.46 ","$2,801.39 ","$2,555.40 ","$2,706.12 ","$27,723,267,359 ","$314,266,256,163 "
03-Jun-21,"$2,708.38 ","$2,891.25 ","$2,667.68 ","$2,855.13 ","$30,038,207,402 ","$331,608,133,101 "
04-Jun-21,"$2,857.17 ","$2,857.17 ","$2,562.64 ","$2,688.19 ","$34,173,841,611 ","$312,256,566,095 "
05-Jun-21,"$2,691.62 ","$2,817.48 ","$2,558.23 ","$2,630.58 ","$30,496,672,724 ","$305,598,725,249 "
06-Jun-21,"$2,629.75 ","$2,743.44 ","$2,616.16 ","$2,715.09 ","$25,311,639,414 ","$315,453,931,558 "
07-Jun-21,"$2,713.05 ","$2,845.19 ","$2,584.00 ","$2,590.26 ","$30,600,111,277 ","$300,985,400,826 "
08-Jun-21,"$2,594.60 ","$2,620.85 ","$2,315.55 ","$2,517.44 ","$41,909,736,778 ","$292,557,075,207 "
09-Jun-21,"$2,510.20 ","$2,625.07 ","$2,412.20 ","$2,608.27 ","$36,075,832,186 ","$303,147,462,062 "
10-Jun-21,"$2,611.14 ","$2,619.96 ","$2,435.40 ","$2,471.52 ","$28,753,626,390 ","$287,286,991,033 "
11-Jun-21,"$2,472.86 ","$2,495.41 ","$2,326.87 ","$2,353.77 ","$24,832,564,195 ","$273,631,367,135 "
